step,loss,tri_loss,lr,elapsed_s
1,8.503151,0.000000,0.00000060,0.8
2,8.481097,0.000000,0.00000120,1.0
3,8.478033,0.000000,0.00000180,1.2
4,8.455973,0.000000,0.00000240,1.4
5,8.420225,0.000000,0.00000300,1.5
6,8.386292,0.000000,0.00000360,1.7
7,8.336448,0.000000,0.00000420,1.9
8,8.294884,0.000000,0.00000480,2.0
9,8.237940,0.000000,0.00000540,2.2
10,8.174111,0.000000,0.00000600,2.4
11,8.115389,0.000000,0.00000660,2.6
12,8.053643,0.000000,0.00000720,2.7
13,8.015707,0.000000,0.00000780,2.9
14,7.950550,0.000000,0.00000840,3.1
15,7.902477,0.000000,0.00000900,3.3
16,7.844766,0.000000,0.00000960,3.4
17,7.801156,0.000000,0.00001020,3.6
18,7.743458,0.000000,0.00001080,3.8
19,7.721101,0.000000,0.00001140,3.9
20,7.667458,0.000000,0.00001200,4.1
21,7.642151,0.000000,0.00001260,4.3
22,7.583298,0.000000,0.00001320,4.5
23,7.565438,0.000000,0.00001380,4.6
24,7.522325,0.000000,0.00001440,4.8
25,7.503640,0.000000,0.00001500,5.0
26,7.469878,0.000000,0.00001560,5.2
27,7.444475,0.000000,0.00001620,5.3
28,7.416737,0.000000,0.00001680,5.5
29,7.376556,0.000000,0.00001740,5.7
30,7.362644,0.000000,0.00001800,5.8
31,7.342046,0.000000,0.00001860,6.0
32,7.337642,0.000000,0.00001920,6.2
33,7.333568,0.000000,0.00001980,6.4
34,7.305420,0.000000,0.00002040,6.5
35,7.290088,0.000000,0.00002100,6.7
36,7.277891,0.000000,0.00002160,6.9
37,7.262859,0.000000,0.00002220,7.1
38,7.225286,0.000000,0.00002280,7.2
39,7.244852,0.000000,0.00002340,7.4
40,7.227457,0.000000,0.00002400,7.6
41,7.227549,0.000000,0.00002460,7.7
42,7.198169,0.000000,0.00002520,7.9
43,7.160276,0.000000,0.00002580,8.1
44,7.164818,0.000000,0.00002640,8.3
45,7.149503,0.000000,0.00002700,8.4
46,7.135967,0.000000,0.00002760,8.6
47,7.101187,0.000000,0.00002820,8.8
48,7.092265,0.000000,0.00002880,9.0
49,7.064024,0.000000,0.00002940,9.1
50,7.062129,0.000000,0.00003000,9.3
51,7.063815,0.000000,0.00003060,9.5
52,7.012523,0.000000,0.00003120,9.6
53,7.019776,0.000000,0.00003180,9.8
54,6.983659,0.000000,0.00003240,10.0
55,6.975313,0.000000,0.00003300,10.2
56,6.961556,0.000000,0.00003360,10.3
57,6.928956,0.000000,0.00003420,10.5
58,6.878050,0.000000,0.00003480,10.7
59,6.869051,0.000000,0.00003540,10.9
60,6.851097,0.000000,0.00003600,11.0
61,6.810753,0.000000,0.00003660,11.2
62,6.763182,0.000000,0.00003720,11.4
63,6.796501,0.000000,0.00003780,11.5
64,6.745581,0.000000,0.00003840,11.7
65,6.723565,0.000000,0.00003900,11.9
66,6.710059,0.000000,0.00003960,12.1
67,6.692684,0.000000,0.00004020,12.2
68,6.657449,0.000000,0.00004080,12.4
69,6.603737,0.000000,0.00004140,12.6
70,6.615945,0.000000,0.00004200,12.8
71,6.602809,0.000000,0.00004260,12.9
72,6.538782,0.000000,0.00004320,13.1
73,6.571981,0.000000,0.00004380,13.3
74,6.514452,0.000000,0.00004440,13.4
75,6.487563,0.000000,0.00004500,13.6
76,6.484110,0.000000,0.00004560,13.8
77,6.426750,0.000000,0.00004620,14.0
78,6.420736,0.000000,0.00004680,14.1
79,6.387130,0.000000,0.00004740,14.3
80,6.348814,0.000000,0.00004800,14.5
81,6.356875,0.000000,0.00004860,14.7
82,6.278948,0.000000,0.00004920,14.8
83,6.279105,0.000000,0.00004980,15.0
84,6.271216,0.000000,0.00005040,15.2
85,6.211955,0.000000,0.00005100,15.3
86,6.155894,0.000000,0.00005160,15.5
87,6.202137,0.000000,0.00005220,15.7
88,6.125455,0.000000,0.00005280,15.9
89,6.060950,0.000000,0.00005340,16.0
90,6.050347,0.000000,0.00005400,16.2
91,6.019568,0.000000,0.00005460,16.4
92,6.030088,0.000000,0.00005520,16.6
93,5.999174,0.000000,0.00005580,16.7
94,5.914312,0.000000,0.00005640,16.9
95,5.942661,0.000000,0.00005700,17.1
96,5.879811,0.000000,0.00005760,17.2
